Table Index,eLNA Index,eLNA Gain,iLNA Index,iLNA Gain,Mixer Index,Mixer Gain,Word 1,TIA Index,TIA Gain,LPF Index,Word 2,DC Cal,Digital Index,Word 3,Total Gain,,,,
36,0,0,2,19,4,14,44,1,0,0,20,1,0,20,33,,,,
37,0,0,2,19,4,14,44,1,0,1,21,0,0,0,34,,,,
38,0,0,2,19,4,14,44,1,0,2,22,0,0,0,35,,,,
39,0,0,2,19,4,14,44,1,0,3,23,0,0,0,36,,,,
40,0,0,2,19,4,14,44,1,0,4,24,0,0,0,37,,,,
41,0,0,2,19,4,14,44,1,0,5,25,0,0,0,38,,,,
42,0,0,2,19,4,14,44,1,0,6,26,0,0,0,39,,,,
43,0,0,2,19,4,14,44,1,0,7,27,0,0,0,40,,,,
44,0,0,2,19,4,14,44,1,0,8,28,0,0,0,41,,,,
45,0,0,2,19,4,14,44,1,0,9,29,0,0,0,42,,,,
46,0,0,2,19,4,14,44,1,0,10,2A,0,0,0,43,,,,
47,0,0,2,19,4,14,44,1,0,11,2B,0,0,0,44,,,,
48,0,0,2,19,4,14,44,1,0,12,2C,0,0,0,45,,,,
49,0,0,2,19,4,14,44,1,0,13,2D,0,0,0,46,,,,
50,0,0,2,19,4,14,44,1,0,14,2E,0,0,0,47,,,,
51,0,0,2,19,4,14,44,1,0,15,2F,0,0,0,48,,,,
52,0,0,2,19,4,14,44,1,0,16,30,0,0,0,49,,,,
53,0,0,2,19,4,14,44,1,0,17,31,0,0,0,50,,,,
54,0,0,2,19,4,14,44,1,0,18,32,0,0,0,51,,,,
55,0,0,3,24,4,14,64,1,0,14,2E,1,0,20,52,,,,
56,0,0,3,24,4,14,64,1,0,15,2F,0,0,0,53,,,,
57,0,0,3,24,4,14,64,1,0,16,30,0,0,0,54,,,,
58,0,0,3,24,4,14,64,1,0,17,31,0,0,0,55,,,,
59,0,0,3,24,4,14,64,1,0,18,32,0,0,0,56,,,,
60,0,0,3,24,4,14,64,1,0,19,33,0,0,0,57,,,,
61,0,0,3,24,4,14,64,1,0,20,34,0,0,0,58,,,,
62,0,0,3,24,4,14,64,1,0,21,35,0,0,0,59,,,,
63,0,0,3,24,4,14,64,1,0,22,36,0,0,0,60,,,,
64,0,0,3,24,4,14,64,1,0,23,37,0,0,0,61,,,,
65,0,0,3,24,4,14,64,1,0,24,38,0,0,0,62,,,,
66,0,0,3,24,5,15,65,1,0,24,38,1,0,20,63,,,,
67,0,0,3,24,6,16,66,1,0,24,38,1,0,20,64,,,,
68,0,0,3,24,7,17,67,1,0,24,38,1,0,20,65,,,,
69,0,0,3,24,8,18,68,1,0,24,38,1,0,20,66,,,,
70,0,0,3,24,9,19,69,1,0,24,38,1,0,20,67,,,,
71,0,0,3,24,10,20,6A,1,0,24,38,1,0,20,68,,,,
72,0,0,3,24,11,21,6B,1,0,24,38,1,0,20,69,,,,
73,0,0,3,24,12,22,6C,1,0,24,38,1,0,20,70,,,,
74,0,0,3,24,13,23,6D,1,0,24,38,1,0,20,71,,,,
75,0,0,3,24,14,24,6E,1,0,24,38,1,0,20,72,,,,
76,0,0,3,24,15,25,6F,1,0,24,38,1,0,20,73,,,,
77,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,
