Table Index,eLNA Index,eLNA Gain,iLNA Index,iLNA Gain,Mixer Index,Mixer Gain,Word 1,TIA Index,TIA Gain,LPF Index,Word 2,DC Cal,Digital Index,Word 3,Total Gain,,,,
29,0,0,0,-4,2,8,2,1,0,11,2B,0,0,0,15,,,,
30,0,0,0,-4,4,13,4,1,0,7,27,1,0,20,16,,,,
31,0,0,0,-4,4,13,4,1,0,8,28,0,0,0,17,,,,
32,0,0,0,-4,4,13,4,1,0,9,29,0,0,0,18,,,,
33,0,0,0,-4,4,13,4,1,0,10,2A,0,0,0,19,,,,
34,0,0,0,-4,4,13,4,1,0,11,2B,0,0,0,20,,,,
35,0,0,0,-4,4,13,4,1,0,12,2C,0,0,0,21,,,,
36,0,0,0,-4,4,13,4,1,0,13,2D,0,0,0,22,,,,
37,0,0,1,10,4,13,24,1,0,0,20,1,0,20,23,,,,
38,0,0,1,10,4,13,24,1,0,1,21,0,0,0,24,,,,
39,0,0,1,10,4,13,24,1,0,2,22,0,0,0,25,,,,
40,0,0,2,13,4,13,44,1,0,0,20,1,0,20,26,,,,
41,0,0,2,13,4,13,44,1,0,1,21,0,0,0,27,,,,
42,0,0,2,13,4,13,44,1,0,2,22,0,0,0,28,,,,
43,0,0,2,13,4,13,44,1,0,3,23,0,0,0,29,,,,
44,0,0,2,13,4,13,44,1,0,4,24,0,0,0,30,,,,
45,0,0,2,13,4,13,44,1,0,5,25,0,0,0,31,,,,
46,0,0,2,13,4,13,44,1,0,6,26,0,0,0,32,,,,
47,0,0,2,13,4,13,44,1,0,7,27,0,0,0,33,,,,
48,0,0,2,13,4,13,44,1,0,8,28,0,0,0,34,,,,
49,0,0,2,13,4,13,44,1,0,9,29,0,0,0,35,,,,
50,0,0,2,13,4,13,44,1,0,10,2A,0,0,0,36,,,,
51,0,0,2,13,4,13,44,1,0,11,2B,0,0,0,37,,,,
52,0,0,2,13,4,13,44,1,0,12,2C,0,0,0,38,,,,
53,0,0,2,13,4,13,44,1,0,13,2D,0,0,0,39,,,,
54,0,0,2,13,4,13,44,1,0,14,2E,0,0,0,40,,,,
55,0,0,3,14,4,13,64,1,0,14,2E,1,0,20,41,,,,
56,0,0,3,14,4,13,64,1,0,15,2F,0,0,0,42,,,,
57,0,0,3,14,4,13,64,1,0,16,30,0,0,0,43,,,,
58,0,0,3,14,4,13,64,1,0,17,31,0,0,0,44,,,,
59,0,0,3,14,4,13,64,1,0,18,32,0,0,0,45,,,,
60,0,0,3,14,4,13,64,1,0,19,33,0,0,0,46,,,,
61,0,0,3,14,4,13,64,1,0,20,34,0,0,0,47,,,,
62,0,0,3,14,4,13,64,1,0,21,35,0,0,0,48,,,,
63,0,0,3,14,4,13,64,1,0,22,36,0,0,0,49,,,,
64,0,0,3,14,4,13,64,1,0,23,37,0,0,0,50,,,,
65,0,0,3,14,4,13,64,1,0,24,38,0,0,0,51,,,,
66,0,0,3,14,5,14,65,1,0,24,38,1,0,20,52,,,,
67,0,0,3,14,6,15,66,1,0,24,38,1,0,20,53,,,,
68,0,0,3,14,7,16,67,1,0,24,38,1,0,20,54,,,,
69,0,0,3,14,8,17,68,1,0,24,38,1,0,20,55,,,,
70,0,0,3,14,9,18,69,1,0,24,38,1,0,20,56,,,,
71,0,0,3,14,10,19,6A,1,0,24,38,1,0,20,57,,,,
72,0,0,3,14,11,20,6B,1,0,24,38,1,0,20,58,,,,
73,0,0,3,14,12,21,6C,1,0,24,38,1,0,20,59,,,,
74,0,0,3,14,13,22,6D,1,0,24,38,1,0,20,60,,,,
75,0,0,3,14,14,23,6E,1,0,24,38,1,0,20,61,,,,
76,0,0,3,14,15,24,6F,1,0,24,38,1,0,20,62,,,,
77,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,
